underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv,vega,theta,rho,gamma,delta
188.81,ETH-27DEC19,1572951565386,open,0.62,1.0,0.548,0.66,0.602343,85.25,0.494,0.0,ETH-27DEC19-300-P,185.56,0.0,0.01,5.0,0.0,0.0,0.0,0.12515,-0.10283,-0.40308,0.0029,-0.89975
193.28,SYN.ETH-26JUN20,1572951565389,open,0.45,1.0,0.411,0.486,0.45128,83.95,0.478,0.0,ETH-26JUN20-120-C,185.56,73.21,0.432,210.0,0.466,210.0,91.79,0.35742,-0.06415,0.49635,0.00178,0.85206
185.74,SYN.ETH-8NOV19,1572951565400,open,0.25,0.0,0.203,0.278,0.238676,104.98,None,0.0,ETH-8NOV19-230-P,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.00527,-0.09616,-0.01795,0.00185,-0.98768
191.61,ETH-27MAR20,1572951565421,open,0.39,169.0,0.312,0.442,0.379094,83.54,0.4,0.0,ETH-27MAR20-240-P,185.56,70.75,0.348,300.0,0.433,1.0,105.24,0.47143,-0.13782,-0.70984,0.00393,-0.56731
185.74,SYN.ETH-8NOV19,1572951565426,open,0.19,0.0,0.168,0.217,0.192732,104.98,None,0.0,ETH-8NOV19-150-C,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.00426,-0.07767,0.01167,0.00149,0.99036
188.81,ETH-27DEC19,1572951565429,open,3.07,1.0,2.909,3.149,3.025253,105.0,3.236,0.0,ETH-27DEC19-760-P,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.00115,-0.00116,-1.08004,2e-05,-0.99955
193.28,SYN.ETH-26JUN20,1572951565431,open,1.17,0.0,1.059,1.251,1.15508,91.61,None,0.0,ETH-26JUN20-400-P,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.50768,-0.09943,-2.33963,0.00232,-0.73406
188.81,ETH-27DEC19,1572951565437,open,2.0,0.0,1.88,2.059,1.966554,105.0,0.845,0.0,ETH-27DEC19-560-P,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.01104,-0.01117,-0.79461,0.00021,-0.99459
185.74,SYN.ETH-8NOV19,1572951565463,open,0.13,246.0,0.112,0.165,0.139034,80.73,0.148,0.0,ETH-8NOV19-160-C,185.56,0.0,0.125,14.0,0.154,14.0,186.74,0.00699,-0.09807,0.01235,0.00318,0.9829
187.06,SYN.ETH-29NOV19,1572951565475,open,0.41,0.0,0.352,0.443,0.396083,81.95,None,0.0,ETH-29NOV19-260-P,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.06515,-0.11181,-0.1621,0.00347,-0.9287
187.06,SYN.ETH-29NOV19,1572951565475,open,0.46,0.0,0.449,0.482,0.466015,104.28,None,0.0,ETH-29NOV19-100-C,185.56,0.0,0.456,21.0,0.475,21.0,166.51,0.00878,-0.01918,0.06454,0.00037,0.99346
188.81,ETH-27DEC19,1572951565479,open,0.19,1368.0,0.159,0.227,0.194943,72.96,0.2,0.0,ETH-27DEC19-160-C,185.56,50.35,0.171,20.0,0.204,380.0,80.74,0.21604,-0.15192,0.15437,0.00584,0.77019
191.61,ETH-27MAR20,1572951565489,open,1.14,3.0,1.045,1.212,1.126516,92.29,1.39,0.0,ETH-27MAR20-400-P,185.56,0.0,0.001,10.0,0.0,0.0,0.0,0.29414,-0.095,-1.47341,0.00222,-0.83793
193.28,SYN.ETH-26JUN20,1572951565489,open,0.79,0.0,0.691,0.863,0.778581,88.41,None,0.0,ETH-26JUN20-320-P,185.56,0.0,0.0,0.0,0.815,1.0,100.32,0.57881,-0.10941,-1.75688,0.00273,-0.64002
193.28,SYN.ETH-26JUN20,1572951565489,open,0.7,0.0,0.683,0.711,0.696745,87.12,None,0.0,ETH-26JUN20-60-C,185.56,0.0,0.689,1.0,0.0,0.0,0.0,0.07925,-0.01476,0.3491,0.00038,0.97863
193.28,SYN.ETH-26JUN20,1572951565489,open,0.52,0.0,0.492,0.552,0.523977,84.72,None,0.0,ETH-26JUN20-100-C,185.56,49.07,0.488,1.0,0.0,0.0,0.0,0.26142,-0.04735,0.47193,0.00129,0.90504
187.06,SYN.ETH-29NOV19,1572951565489,open,0.21,0.0,0.155,0.239,0.197033,72.27,None,0.0,ETH-29NOV19-220-P,185.56,0.0,0.176,50.0,0.0,0.0,0.0,0.14022,-0.21221,-0.12002,0.00848,-0.78385
188.81,ETH-27DEC19,1572951565509,open,0.93,257.0,0.853,0.978,0.913249,94.07,0.995,0.0,ETH-27DEC19-360-P,185.56,0.0,0.01,7.0,0.0,0.0,0.0,0.0737,-0.06683,-0.49993,0.00155,-0.94975
188.81,ETH-27DEC19,1572951565556,open,0.15,3393.0,0.103,0.187,0.145818,73.7,0.15,0.0,ETH-27DEC19-200-P,185.56,69.82,0.14,295.0,0.148,96.0,75.16,0.28331,-0.20126,-0.18061,0.00759,-0.52722
185.74,SYN.ETH-8NOV19,1572951565556,open,0.3,0.0,0.255,0.333,0.292223,105.0,None,0.0,ETH-8NOV19-240-P,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,-0.03108,-0.01886,0.0006,-0.99657
191.61,ETH-27MAR20,1572951565570,open,2.18,0.0,2.045,2.258,2.147153,101.81,None,0.0,ETH-27MAR20-600-P,185.56,0.0,0.02,10.0,0.0,0.0,0.0,0.16149,-0.05753,-2.30776,0.0011,-0.9297
191.61,ETH-27MAR20,1572951565572,open,0.24,754.0,0.171,0.281,0.228032,81.41,0.27,0.0,ETH-27MAR20-200-P,185.56,76.93,0.217,493.0,0.238,193.0,85.47,0.47135,-0.13429,-0.49527,0.00403,-0.43229
185.74,SYN.ETH-8NOV19,1572951565572,open,0.29,0.0,0.279,0.32,0.300099,105.04,None,0.0,ETH-8NOV19-130-C,185.56,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,-0.00066,0.01024,1e-05,0.99995
193.28,SYN.ETH-26JUN20,1572951565574,open,0.6,0.0,0.584,0.628,0.606886,86.76,None,0.0,ETH-26JUN20-80-C,185.56,48.0,0.587,1.0,0.0,0.0,0.0,0.16687,-0.03095,0.42135,0.0008,0.94711
188.81,ETH-27DEC19,1572951565593,open,2.43,0.0,2.292,2.494,2.389854,105.0,None,0.0,ETH-27DEC19-640-P,185.56,0.0,0.0,0.0,0.0,0.0,0.0,0.00441,-0.00447,-0.90913,8e-05,-0.99805
191.61,ETH-27MAR20,1572951565595,open,0.28,724.0,0.231,0.318,0.278082,81.41,0.277,0.0,ETH-27MAR20-160-C,185.56,77.02,0.269,553.0,0.284,253.0,84.26,0.3974,-0.11322,0.33792,0.0034,0.72862
193.28,SYN.ETH-26JUN20,1572951565595,open,0.29,1.0,0.219,0.346,0.285425,83.95,0.294,0.0,ETH-26JUN20-200-P,185.56,80.89,0.276,210.0,0.291,402.0,85.77,0.59264,-0.10637,-0.83371,0.00295,-0.38776
9434.8,BTC-27DEC19,1572951565836,open,4.54,0.8,4.4035,4.6235,4.51142348,0.0,3.59,0.0,BTC-27DEC19-52000-P,9281.1,0.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,-73.9051,0.0,-1.0
9434.8,BTC-27DEC19,1572951566045,open,3.69,0.0,3.5725,3.7585,3.66351566,0.0,3.46,0.0,BTC-27DEC19-44000-P,9281.1,0.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,-62.53508,0.0,-1.0
9289.62,SYN.BTC-8NOV19,1572951566073,open,0.17,0.6,0.135,0.186,0.15871389,94.69,0.1265,0.0,BTC-8NOV19-10750-P,9281.1,0.0,0.0,0.0,0.0,0.0,0.0,0.78197,-12.87472,-0.8151,0.00012,-0.95497
9289.62,SYN.BTC-8NOV19,1572951566073,open,0.14,2.0,0.1085,0.159,0.13220783,86.47,0.104,0.0,BTC-8NOV19-10500-P,9281.1,0.0,0.112,4.0,0.146,4.0,158.04,0.97822,-14.70679,-0.78497,0.00017,-0.94031
9351.87,SYN.BTC-29NOV19,1572951566075,open,0.15,5.0,0.117,0.1805,0.1488039,65.9,0.15,0.0,BTC-29NOV19-10500-P,9281.1,0.0,0.119,6.0,0.178,6.0,97.72,7.95712,-10.98213,-5.35546,0.00021,-0.72665
9351.87,SYN.BTC-29NOV19,1572951566075,open,0.3,0.0,0.2615,0.3255,0.29220862,73.3,None,0.0,BTC-29NOV19-12000-P,9281.1,0.0,0.2665,4.0,0.3155,4.0,109.62,4.44443,-6.82266,-7.24297,0.00011,-0.8918
9434.8,BTC-27DEC19,1572951566077,open,0.84,12.1,0.8315,0.851,0.84101666,126.67,0.8415,0.0,BTC-27DEC19-1500-C,9281.1,0.0,0.833,1.0,0.8495,1.0,297.98,0.00331,-0.00405,2.13155,0.0,0.99998
9600.3,BTC-27MAR20,1572951566084,open,1.12,5.2,1.0535,1.1745,1.11096355,84.26,1.108,0.0,BTC-27MAR20-20000-P,9281.1,0.0,0.0,0.0,0.0,0.0,0.0,12.6744,-3.73732,-74.46122,4e-05,-0.87047
186.18,SYN.ETH-15NOV19,1572951566106,open,0.15,0.0,0.1,0.174,0.1365,68.05,None,0.0,ETH-15NOV19-210-P,185.56,0.0,0.127,50.0,0.0,0.0,0.0,0.07265,-0.25032,-0.04949,0.01138,-0.84604
