cost,rmse,penalty,C,G,M,Y
inf,inf,0.000000,0.000010,29.070147,33.026995,1.579302
0.056603,0.056603,0.000000,1.849747,25.445415,28.653727,1.381556
0.056603,0.056603,0.000000,1.849748,25.445415,28.653727,1.381556
0.056603,0.056603,0.000000,1.849747,25.445415,28.653727,1.381556
0.056603,0.056603,0.000000,1.849747,25.445415,28.653727,1.381556
0.056603,0.056603,0.000000,1.849747,25.445415,28.653727,1.381556
0.056591,0.056591,0.000000,1.779618,25.585447,28.822449,1.389463
0.056591,0.056591,0.000000,1.779618,25.585447,28.822449,1.389463
0.056591,0.056591,0.000000,1.779618,25.585447,28.822449,1.389463
0.056591,0.056591,0.000000,1.779618,25.585447,28.822449,1.389463
0.056591,0.056591,0.000000,1.779618,25.585447,28.822449,1.389463
0.056542,0.056542,0.000000,1.781062,25.586169,28.822970,1.389775
0.056542,0.056542,0.000000,1.781062,25.586169,28.822970,1.389775
0.056542,0.056542,0.000000,1.781062,25.586169,28.822970,1.389775
0.056542,0.056542,0.000000,1.781062,25.586169,28.822970,1.389775
0.056542,0.056542,0.000000,1.781062,25.586169,28.822970,1.389775
0.056361,0.056361,0.000000,1.683655,25.801328,29.080192,1.403452
0.056361,0.056361,0.000000,1.683655,25.801328,29.080192,1.403452
0.056361,0.056361,0.000000,1.683655,25.801328,29.080192,1.403452
0.056361,0.056361,0.000000,1.683655,25.801328,29.080192,1.403452
0.056361,0.056361,0.000000,1.683655,25.801328,29.080192,1.403452
0.056309,0.056309,0.000000,1.377401,26.459561,29.868703,1.444040
0.056309,0.056309,0.000000,1.377401,26.459561,29.868703,1.444040
0.056309,0.056309,0.000000,1.377401,26.459561,29.868703,1.444040
0.056309,0.056309,0.000000,1.377401,26.459561,29.868703,1.444040
0.056309,0.056309,0.000000,1.377401,26.459561,29.868703,1.444040
0.056198,0.056198,0.000000,1.558301,26.078913,29.411890,1.420957
0.056198,0.056198,0.000000,1.558301,26.078913,29.411890,1.420957
0.056198,0.056198,0.000000,1.558301,26.078913,29.411890,1.420957
0.056198,0.056198,0.000000,1.558301,26.078913,29.411890,1.420957
0.056198,0.056198,0.000000,1.558301,26.078913,29.411890,1.420958
0.056092,0.056092,0.000000,1.478368,26.255116,29.622507,1.432007
0.056092,0.056092,0.000000,1.478368,26.255116,29.622507,1.432007
0.056092,0.056092,0.000000,1.478368,26.255116,29.622507,1.432007
0.056092,0.056092,0.000000,1.478368,26.255116,29.622507,1.432007
0.056092,0.056092,0.000000,1.478368,26.255116,29.622507,1.432007
0.061534,0.061534,0.000000,1.002644,27.312798,30.885935,1.498868
0.056034,0.056034,0.000000,1.430795,26.360884,29.748850,1.438693
0.056034,0.056034,0.000000,1.430795,26.360884,29.748850,1.438693
0.056034,0.056034,0.000000,1.430795,26.360884,29.748850,1.438693
0.056034,0.056034,0.000000,1.430795,26.360884,29.748850,1.438693
0.056034,0.056034,0.000000,1.430795,26.360884,29.748850,1.438693
0.059516,0.059516,0.000000,1.025760,27.272318,30.836539,1.496823
0.055991,0.055991,0.000000,1.390292,26.452027,29.857618,1.444506
0.055991,0.055991,0.000000,1.390292,26.452027,29.857618,1.444506
0.055991,0.055991,0.000000,1.390292,26.452027,29.857618,1.444506
0.055991,0.055991,0.000000,1.390292,26.452027,29.857618,1.444506
0.055991,0.055991,0.000000,1.390292,26.452027,29.857618,1.444506
0.056141,0.056141,0.000000,1.194064,26.900164,30.391750,1.473346
0.055942,0.055942,0.000000,1.332744,26.583454,30.014264,1.452964
0.055942,0.055942,0.000000,1.332744,26.583454,30.014264,1.452964
0.055942,0.055942,0.000000,1.332744,26.583454,30.014264,1.452964
0.055942,0.055942,0.000000,1.332744,26.583454,30.014264,1.452964
0.055942,0.055942,0.000000,1.332744,26.583454,30.014264,1.452964
0.055898,0.055898,0.000000,1.244182,26.791304,30.261429,1.466525
0.055898,0.055898,0.000000,1.244182,26.791304,30.261429,1.466525
0.055898,0.055898,0.000000,1.244182,26.791304,30.261429,1.466525
0.055898,0.055898,0.000000,1.244182,26.791304,30.261429,1.466525
0.055898,0.055898,0.000000,1.244182,26.791304,30.261429,1.466525
0.055816,0.055816,0.000000,1.232337,26.826944,30.303018,1.469076
0.055816,0.055816,0.000000,1.232337,26.826944,30.303018,1.469076
0.055816,0.055816,0.000000,1.232337,26.826944,30.303018,1.469076
0.055816,0.055816,0.000000,1.232337,26.826944,30.303018,1.469076
0.055816,0.055816,0.000000,1.232337,26.826944,30.303018,1.469076
0.055623,0.055623,0.000000,1.095178,27.180155,30.719845,1.492969
0.055623,0.055623,0.000000,1.095178,27.180155,30.719845,1.492969
0.055623,0.055623,0.000000,1.095178,27.180155,30.719845,1.492969
0.055623,0.055623,0.000000,1.095178,27.180155,30.719845,1.492969
0.055623,0.055623,0.000000,1.095178,27.180155,30.719845,1.492969
0.055476,0.055476,0.000000,1.021186,27.390850,30.966566,1.507637
0.055476,0.055476,0.000000,1.021186,27.390850,30.966566,1.507637
0.055476,0.055476,0.000000,1.021186,27.390850,30.966566,1.507637
0.055476,0.055476,0.000000,1.021186,27.390850,30.966566,1.507637
0.055476,0.055476,0.000000,1.021186,27.390850,30.966566,1.507637
0.069576,0.069576,0.000000,0.618298,28.473394,32.239733,1.581691
0.055432,0.055432,0.000000,0.980897,27.499104,31.093883,1.515043
0.055432,0.055432,0.000000,0.980897,27.499104,31.093883,1.515043
0.055432,0.055432,0.000000,0.980897,27.499104,31.093883,1.515043
0.055432,0.055432,0.000000,0.980897,27.499104,31.093883,1.515043
0.055432,0.055432,0.000000,0.980897,27.499104,31.093883,1.515043
0.055641,0.055641,0.000000,0.826060,27.932733,31.602231,1.545015
0.055394,0.055394,0.000000,0.943934,27.602621,31.215237,1.522198
0.055394,0.055394,0.000000,0.943934,27.602621,31.215237,1.522198
0.055394,0.055394,0.000000,0.943934,27.602621,31.215237,1.522198
0.055394,0.055394,0.000000,0.943934,27.602621,31.215237,1.522198
0.055394,0.055394,0.000000,0.943934,27.602621,31.215237,1.522198
0.055359,0.055359,0.000000,0.838906,27.908308,31.572546,1.543484
0.055359,0.055359,0.000000,0.838906,27.908308,31.572546,1.543484
0.055359,0.055359,0.000000,0.838906,27.908308,31.572546,1.543484
0.055359,0.055359,0.000000,0.838906,27.908308,31.572546,1.543484
0.055359,0.055359,0.000000,0.838906,27.908308,31.572546,1.543484
0.055254,0.055254,0.000000,0.864670,27.846623,31.499259,1.539345
0.055254,0.055254,0.000000,0.864670,27.846623,31.499259,1.539345
0.055254,0.055254,0.000000,0.864670,27.846623,31.499259,1.539345
0.055254,0.055254,0.000000,0.864670,27.846623,31.499259,1.539345
0.055254,0.055254,0.000000,0.864670,27.846623,31.499259,1.539345
0.055186,0.055186,0.000000,0.819841,27.988509,31.664075,1.549339
0.055186,0.055186,0.000000,0.819841,27.988509,31.664075,1.549339
0.055186,0.055186,0.000000,0.819841,27.988509,31.664075,1.549339
0.055186,0.055186,0.000000,0.819841,27.988509,31.664075,1.549339
0.055186,0.055186,0.000000,0.819841,27.988509,31.664075,1.549339
0.056852,0.056852,0.000000,0.613584,28.638545,32.419379,1.595077
0.055158,0.055158,0.000000,0.799216,28.053513,31.739605,1.553913
0.055158,0.055158,0.000000,0.799216,28.053513,31.739605,1.553913
0.055158,0.055158,0.000000,0.799216,28.053513,31.739605,1.553913
0.055158,0.055158,0.000000,0.799216,28.053513,31.739605,1.553913
0.055158,0.055158,0.000000,0.799216,28.053513,31.739605,1.553913
0.059053,0.059053,0.000000,0.554273,28.842164,32.654568,1.609540
0.055127,0.055127,0.000000,0.774721,28.132378,31.831101,1.559475
0.055127,0.055127,0.000000,0.774722,28.132378,31.831101,1.559475
0.055127,0.055127,0.000000,0.774721,28.132378,31.831101,1.559475
0.055127,0.055127,0.000000,0.774721,28.132378,31.831101,1.559475
0.055127,0.055127,0.000000,0.774721,28.132378,31.831101,1.559475
0.055500,0.055500,0.000000,0.634170,28.595052,32.367022,1.592171
0.055097,0.055097,0.000000,0.750713,28.211411,31.922646,1.565060
0.055097,0.055097,0.000000,0.750713,28.211411,31.922646,1.565060
0.055097,0.055097,0.000000,0.750713,28.211411,31.922646,1.565060
0.055097,0.055097,0.000000,0.750713,28.211411,31.922646,1.565060
0.055097,0.055097,0.000000,0.750713,28.211411,31.922646,1.565060
0.055120,0.055120,0.000000,0.656485,28.530411,32.291420,1.587641
0.055055,0.055055,0.000000,0.710354,28.348041,32.080595,1.574732
0.055055,0.055055,0.000000,0.710354,28.348041,32.080595,1.574732
0.055055,0.055055,0.000000,0.710354,28.348041,32.080595,1.574732
0.055055,0.055055,0.000000,0.710354,28.348041,32.080595,1.574732
0.055055,0.055055,0.000000,0.710354,28.348041,32.080595,1.574732
0.054996,0.054996,0.000000,0.665398,28.509750,32.266762,1.586208
0.054996,0.054996,0.000000,0.665398,28.509750,32.266762,1.586208
0.054996,0.054996,0.000000,0.665398,28.509750,32.266762,1.586208
0.054996,0.054996,0.000000,0.665398,28.509750,32.266762,1.586208
0.054996,0.054996,0.000000,0.665398,28.509750,32.266762,1.586208
0.054885,0.054885,0.000000,0.624385,28.675998,32.456706,1.598043
0.054885,0.054885,0.000000,0.624385,28.675998,32.456706,1.598043
0.054885,0.054885,0.000000,0.624385,28.675998,32.456706,1.598043
0.054885,0.054885,0.000000,0.624385,28.675998,32.456706,1.598043
0.054885,0.054885,0.000000,0.624385,28.675998,32.456706,1.598043
0.055340,0.055340,0.000000,0.512427,29.102021,32.945334,1.628286
0.054865,0.054865,0.000000,0.609677,28.731965,32.520898,1.602016
0.054865,0.054865,0.000000,0.609677,28.731965,32.520898,1.602016
0.054865,0.054865,0.000000,0.609677,28.731965,32.520898,1.602016
0.054865,0.054865,0.000000,0.609677,28.731965,32.520898,1.602016
0.054865,0.054865,0.000000,0.609677,28.731965,32.520898,1.602016
0.055298,0.055298,0.000000,0.492418,29.194617,33.050310,1.634862
0.054841,0.054841,0.000000,0.592364,28.800276,32.599066,1.606866
0.054841,0.054841,0.000000,0.592364,28.800276,32.599066,1.606866
0.054841,0.054841,0.000000,0.592364,28.800276,32.599066,1.606866
0.054841,0.054841,0.000000,0.592364,28.800276,32.599066,1.606866
0.054841,0.054841,0.000000,0.592364,28.800276,32.599066,1.606866
0.054942,0.054942,0.000000,0.502322,29.165494,33.016260,1.632779
0.054806,0.054806,0.000000,0.565782,28.908094,32.722228,1.614516
0.054806,0.054806,0.000000,0.565782,28.908094,32.722228,1.614516
0.054806,0.054806,0.000000,0.565782,28.908094,32.722228,1.614516
0.054806,0.054806,0.000000,0.565782,28.908094,32.722228,1.614516
0.054806,0.054806,0.000000,0.565782,28.908094,32.722228,1.614516
